Section,Item,Type,Accuracy,Weighted F1,Macro F1
Sub-exp 1,SVM,Trained,0.7887500000000001,0.7887264622571115,0.7887264622571115
Sub-exp 1,MLP,Trained,0.764,0.7639378547912091,0.7639378547912091
Sub-exp 1,LR,Trained,0.75725,0.7571503687219625,0.7571503687219625
Sub-exp 1,BART-ZS,Zero-Shot,0.565,0.5459171690284194,0.5459171690284192
Sub-exp 2,Prompt B (descriptive),Prompt Variant,0.71,0.7033248081841432,0.7033248081841432
Sub-exp 2,Prompt A (simple),Prompt Variant,0.685,0.6571521863350657,0.6571521863350658
Sub-exp 2,Prompt C (clinical),Prompt Variant,0.535,0.4136006809798543,0.4136006809798543
Sub-exp 3,Zero-Shot,Inference Method,0.71,0.7033248081841432,0.7033248081841432
Sub-exp 3,Few-Shot,Inference Method,0.605,0.6027655562539284,0.6027655562539284
